snapshot_utc,service_date,ferry_route_id,crossing,departure_id,depart,arrival,available_cars,available_pax,max_pax,ferry,css_class,is_dangerous_goods
2026-08-31T22:43:21Z,2026-09-01,411,Kragenæs > Femø,3769519,2026-09-01T06:05:00,2026-09-01T07:00:00,8,91,95,M/F Askø,crossing-normal,False
2026-08-31T22:43:21Z,2026-09-01,411,Kragenæs > Femø,3748199,2026-09-01T11:50:00,2026-09-01T12:45:00,0,88,98,M/F Femøsund,crossing-almost-fully-booked,False
2026-08-31T22:43:21Z,2026-09-01,411,Kragenæs > Femø,3748278,2026-09-01T14:05:00,2026-09-01T15:00:00,6,88,98,M/F Femøsund,crossing-normal,False
2026-08-31T22:43:21Z,2026-09-01,411,Kragenæs > Femø,3748357,2026-09-01T16:20:00,2026-09-01T17:15:00,5,90,98,M/F Femøsund,crossing-normal,False
2026-08-31T22:43:21Z,2026-09-01,411,Kragenæs > Femø,3748436,2026-09-01T18:40:00,2026-09-01T19:35:00,14,97,98,M/F Femøsund,crossing-normal,False
2026-08-31T22:43:21Z,2026-09-01,411,Kragenæs > Femø,3748515,2026-09-01T22:00:00,2026-09-01T22:55:00,15,98,98,M/F Femøsund,crossing-normal,False
2026-08-31T22:43:21Z,2026-09-01,411,Femø > Kragenæs,3769520,2026-09-01T06:00:00,2026-09-01T06:55:00,9,92,98,M/F Femøsund,crossing-normal,False
2026-08-31T22:43:21Z,2026-09-01,411,Femø > Kragenæs,3769522,2026-09-01T07:15:00,2026-09-01T08:10:00,9,88,95,M/F Askø,crossing-normal,False
2026-08-31T22:43:21Z,2026-09-01,411,Femø > Kragenæs,3747725,2026-09-01T12:55:00,2026-09-01T13:50:00,10,93,98,M/F Femøsund,crossing-normal,False
2026-08-31T22:43:21Z,2026-09-01,411,Femø > Kragenæs,3747804,2026-09-01T15:10:00,2026-09-01T16:05:00,2,94,98,M/F Femøsund,crossing-normal,False
2026-08-31T22:43:21Z,2026-09-01,411,Femø > Kragenæs,3747883,2026-09-01T17:30:00,2026-09-01T18:25:00,13,95,98,M/F Femøsund,crossing-normal,False
2026-08-31T22:43:21Z,2026-09-01,411,Femø > Kragenæs,3747962,2026-09-01T20:45:00,2026-09-01T21:40:00,15,98,98,M/F Femøsund,crossing-normal,False
2026-08-31T22:43:21Z,2026-09-01,413,Kragenæs > Askø,3769524,2026-09-01T08:25:00,2026-09-01T09:05:00,5,87,95,M/F Askø,crossing-normal,False
2026-08-31T22:43:21Z,2026-09-01,413,Kragenæs > Askø,3753120,2026-09-01T11:10:00,2026-09-01T11:50:00,11,90,95,M/F Askø,crossing-normal,False
2026-08-31T22:43:21Z,2026-09-01,413,Kragenæs > Askø,3753183,2026-09-01T13:35:00,2026-09-01T14:15:00,8,92,95,M/F Askø,crossing-normal,False
2026-08-31T22:43:21Z,2026-09-01,413,Kragenæs > Askø,3753246,2026-09-01T15:55:00,2026-09-01T16:35:00,13,95,95,M/F Askø,crossing-normal,False
2026-08-31T22:43:21Z,2026-09-01,413,Kragenæs > Askø,3753309,2026-09-01T18:15:00,2026-09-01T18:55:00,13,95,95,M/F Askø,crossing-normal,False
2026-08-31T22:43:21Z,2026-09-01,413,Kragenæs > Askø,3753372,2026-09-01T21:20:00,2026-09-01T22:00:00,13,95,95,M/F Askø,crossing-normal,False
2026-08-31T22:43:21Z,2026-09-01,413,Askø > Kragenæs,3769525,2026-09-01T09:30:00,2026-09-01T10:10:00,7,91,95,M/F Askø,crossing-normal,False
2026-08-31T22:43:21Z,2026-09-01,413,Askø > Kragenæs,3753561,2026-09-01T12:35:00,2026-09-01T13:15:00,8,90,95,M/F Askø,crossing-normal,False
