ts_utc,mmsi,lat,lon,sog,nav
2026-09-17T00:00:00Z,219000811,54.916068,11.359958,0.0,Under way using engine
2026-09-17T00:00:04Z,219002177,54.935962,11.372063,0.0,Under way using engine
2026-09-17T00:00:30Z,219000811,54.916070,11.359967,0.0,Under way using engine
2026-09-17T00:00:34Z,219002177,54.935963,11.372038,0.0,Under way using engine
2026-09-17T00:01:00Z,219000811,54.916073,11.359972,0.0,Under way using engine
2026-09-17T00:01:05Z,219002177,54.935975,11.372040,0.0,Under way using engine
2026-09-17T00:01:30Z,219000811,54.916075,11.359972,0.0,Under way using engine
2026-09-17T00:01:39Z,219002177,54.935977,11.372035,0.0,Under way using engine
2026-09-17T00:02:00Z,219000811,54.916077,11.359973,0.0,Under way using engine
2026-09-17T00:02:14Z,219002177,54.935987,11.372042,0.0,Under way using engine
2026-09-17T00:02:37Z,219000809,54.971907,11.514582,0.0,Moored
2026-09-17T00:02:40Z,219000811,54.916078,11.359977,0.0,Under way using engine
2026-09-17T00:02:54Z,219002177,54.935980,11.372017,0.0,Under way using engine
2026-09-17T00:03:10Z,219000811,54.916075,11.359970,0.0,Under way using engine
2026-09-17T00:03:23Z,219000809,54.971907,11.514582,0.0,Moored
2026-09-17T00:03:24Z,219002177,54.935990,11.372013,0.1,Under way using engine
2026-09-17T00:03:40Z,219000811,54.916072,11.359970,0.0,Under way using engine
2026-09-17T00:03:54Z,219002177,54.935988,11.372047,0.0,Under way using engine
2026-09-17T00:04:10Z,219000811,54.916072,11.359972,0.0,Under way using engine
2026-09-17T00:04:24Z,219002177,54.935980,11.372028,0.0,Under way using engine
2026-09-17T00:04:40Z,219000811,54.916070,11.359970,0.0,Under way using engine
2026-09-17T00:04:54Z,219002177,54.935985,11.372052,0.0,Under way using engine
2026-09-17T00:05:19Z,219000811,54.916072,11.359967,0.0,Under way using engine
2026-09-17T00:05:35Z,219002177,54.935985,11.372018,0.0,Under way using engine
2026-09-17T00:05:37Z,219000809,54.971917,11.514570,0.0,Moored
2026-09-17T00:06:00Z,219000811,54.916073,11.359970,0.0,Under way using engine
2026-09-17T00:06:14Z,219002177,54.935967,11.372028,0.0,Under way using engine
2026-09-17T00:06:40Z,219000811,54.916075,11.359978,0.0,Under way using engine
2026-09-17T00:06:55Z,219002177,54.935978,11.372027,0.0,Under way using engine
2026-09-17T00:07:19Z,219000811,54.916078,11.359990,0.0,Under way using engine
2026-09-17T00:07:25Z,219002177,54.935973,11.372028,0.0,Under way using engine
2026-09-17T00:07:50Z,219000811,54.916082,11.360000,0.0,Under way using engine
2026-09-17T00:07:55Z,219002177,54.935972,11.372037,0.0,Under way using engine
2026-09-17T00:08:25Z,219002177,54.935962,11.372047,0.0,Under way using engine
2026-09-17T00:08:29Z,219000811,54.916085,11.360008,0.1,Under way using engine
2026-09-17T00:08:35Z,219000809,54.971913,11.514593,0.0,Moored
2026-09-17T00:08:55Z,219002177,54.935958,11.372033,0.0,Under way using engine
2026-09-17T00:08:59Z,219000811,54.916090,11.360017,0.0,Under way using engine
2026-09-17T00:09:23Z,219000809,54.971913,11.514593,0.0,Moored
2026-09-17T00:09:25Z,219002177,54.935967,11.372025,0.0,Under way using engine
2026-09-17T00:09:29Z,219000811,54.916093,11.360025,0.1,Under way using engine
2026-09-17T00:09:55Z,219002177,54.935973,11.372028,0.0,Under way using engine
2026-09-17T00:09:59Z,219000811,54.916097,11.360027,0.0,Under way using engine
2026-09-17T00:10:25Z,219002177,54.935970,11.372050,0.0,Under way using engine
2026-09-17T00:10:29Z,219000811,54.916092,11.359997,0.0,Under way using engine
2026-09-17T00:10:55Z,219002177,54.935972,11.372027,0.0,Under way using engine
