ts_utc,mmsi,lat,lon,sog,nav
2026-09-03T00:00:03Z,219002177,54.935950,11.371973,0.0,Under way using engine
2026-09-03T00:00:09Z,219000811,54.916053,11.359977,0.0,Under way using engine
2026-09-03T00:00:34Z,219002177,54.935953,11.371977,0.0,Under way using engine
2026-09-03T00:00:40Z,219000811,54.916055,11.359983,0.0,Under way using engine
2026-09-03T00:01:10Z,219000811,54.916053,11.359985,0.0,Under way using engine
2026-09-03T00:01:13Z,219002177,54.935960,11.371977,0.0,Under way using engine
2026-09-03T00:01:40Z,219000811,54.916055,11.359988,0.0,Under way using engine
2026-09-03T00:01:44Z,219002177,54.935980,11.371975,0.0,Under way using engine
2026-09-03T00:01:47Z,219000809,91.000000,0.000000,,Unknown value
2026-09-03T00:02:10Z,219000811,54.916053,11.359990,0.0,Under way using engine
2026-09-03T00:02:23Z,219002177,54.935968,11.371965,0.0,Under way using engine
2026-09-03T00:02:36Z,219000809,54.971918,11.514562,0.0,Moored
2026-09-03T00:02:40Z,219000811,54.916052,11.359988,0.0,Under way using engine
2026-09-03T00:02:53Z,219002177,54.935957,11.371972,0.0,Under way using engine
2026-09-03T00:03:10Z,219000811,54.916050,11.359985,0.0,Under way using engine
2026-09-03T00:03:25Z,219002177,54.935963,11.371980,0.0,Under way using engine
2026-09-03T00:03:40Z,219000811,54.916052,11.359983,0.0,Under way using engine
2026-09-03T00:04:03Z,219002177,54.935942,11.371975,0.0,Under way using engine
2026-09-03T00:04:10Z,219000811,54.916057,11.359982,0.0,Under way using engine
2026-09-03T00:04:35Z,219002177,54.935955,11.371967,0.0,Under way using engine
2026-09-03T00:04:40Z,219000811,54.916058,11.359980,0.0,Under way using engine
2026-09-03T00:05:10Z,219000811,54.916065,11.359978,0.0,Under way using engine
2026-09-03T00:05:14Z,219002177,54.935993,11.371973,0.0,Under way using engine
2026-09-03T00:05:36Z,219000809,54.971942,11.514567,0.0,Moored
2026-09-03T00:05:40Z,219000811,54.916070,11.359973,0.0,Under way using engine
2026-09-03T00:05:45Z,219002177,54.935963,11.371973,0.0,Under way using engine
2026-09-03T00:06:10Z,219000811,54.916068,11.359973,0.0,Under way using engine
2026-09-03T00:06:15Z,219002177,54.935977,11.371985,0.0,Under way using engine
2026-09-03T00:06:45Z,219002177,54.935988,11.371995,0.0,Under way using engine
2026-09-03T00:06:50Z,219000811,54.916065,11.359972,0.0,Under way using engine
2026-09-03T00:07:15Z,219002177,54.935987,11.371993,0.0,Under way using engine
2026-09-03T00:07:20Z,219000811,54.916063,11.359970,0.0,Under way using engine
2026-09-03T00:07:45Z,219002177,54.935975,11.371988,0.0,Under way using engine
2026-09-03T00:07:47Z,219000809,54.971942,11.514567,0.0,Moored
2026-09-03T00:07:50Z,219000811,54.916063,11.359968,0.0,Under way using engine
2026-09-03T00:08:20Z,219000811,54.916067,11.359968,0.0,Under way using engine
2026-09-03T00:08:24Z,219002177,54.935968,11.371975,0.0,Under way using engine
