ts_utc,mmsi,lat,lon,sog,nav
2026-08-31T00:00:00Z,219000811,54.838732,11.491810,0.0,Under way using engine
2026-08-31T00:00:01Z,219000809,54.971897,11.514573,0.0,Moored
2026-08-31T00:00:05Z,219002177,54.935980,11.371973,0.0,Under way using engine
2026-08-31T00:00:30Z,219000811,54.838733,11.491817,0.0,Under way using engine
2026-08-31T00:00:35Z,219002177,54.935977,11.371978,0.0,Under way using engine
2026-08-31T00:01:00Z,219000811,54.838735,11.491823,0.0,Under way using engine
2026-08-31T00:01:05Z,219002177,54.935977,11.371973,0.0,Under way using engine
2026-08-31T00:01:16Z,219000809,54.971897,11.514573,0.0,Moored
2026-08-31T00:01:35Z,219002177,54.935995,11.371963,0.0,Under way using engine
2026-08-31T00:01:40Z,219000811,54.838733,11.491828,0.0,Under way using engine
2026-08-31T00:02:05Z,219002177,54.935992,11.371957,0.0,Under way using engine
2026-08-31T00:02:10Z,219000811,54.838730,11.491827,0.0,Under way using engine
2026-08-31T00:02:35Z,219002177,54.935978,11.371958,0.0,Under way using engine
2026-08-31T00:02:40Z,219000811,54.838727,11.491823,0.0,Under way using engine
2026-08-31T00:03:01Z,219000809,54.971908,11.514595,0.0,Moored
2026-08-31T00:03:05Z,219002177,54.935983,11.371970,0.0,Under way using engine
2026-08-31T00:03:10Z,219000811,54.838725,11.491820,0.0,Under way using engine
2026-08-31T00:03:35Z,219002177,54.935975,11.371972,0.0,Under way using engine
2026-08-31T00:03:48Z,219000811,54.838722,11.491815,0.0,Under way using engine
2026-08-31T00:04:05Z,219002177,54.935977,11.371972,0.0,Under way using engine
2026-08-31T00:04:19Z,219000811,54.838720,11.491813,0.0,Under way using engine
2026-08-31T00:04:45Z,219002177,54.935970,11.371962,0.0,Under way using engine
2026-08-31T00:04:59Z,219000811,54.838722,11.491813,0.0,Under way using engine
2026-08-31T00:05:15Z,219002177,54.935968,11.371957,0.0,Under way using engine
2026-08-31T00:05:29Z,219000811,54.838725,11.491813,0.0,Under way using engine
2026-08-31T00:05:45Z,219002177,54.935973,11.371960,0.0,Under way using engine
2026-08-31T00:05:59Z,219000811,54.838727,11.491815,0.0,Under way using engine
2026-08-31T00:06:02Z,219000809,54.971932,11.514557,0.0,Moored
2026-08-31T00:06:15Z,219002177,54.935970,11.371943,0.0,Under way using engine
2026-08-31T00:06:29Z,219000811,54.838730,11.491817,0.0,Under way using engine
2026-08-31T00:06:45Z,219002177,54.935955,11.371948,0.0,Under way using engine
2026-08-31T00:06:59Z,219000811,54.838732,11.491818,0.0,Under way using engine
2026-08-31T00:07:15Z,219002177,54.935967,11.371953,0.0,Under way using engine
2026-08-31T00:07:16Z,219000809,54.971932,11.514557,0.0,Moored
2026-08-31T00:07:29Z,219000811,54.838732,11.491820,0.0,Under way using engine
2026-08-31T00:07:45Z,219002177,54.935968,11.371950,0.0,Under way using engine
2026-08-31T00:07:59Z,219000811,54.838730,11.491820,0.0,Under way using engine
2026-08-31T00:08:24Z,219002177,54.935977,11.371962,0.0,Under way using engine
2026-08-31T00:08:29Z,219000811,54.838728,11.491818,0.0,Under way using engine
2026-08-31T00:08:54Z,219002177,54.935972,11.371968,0.0,Under way using engine
2026-08-31T00:08:59Z,219000811,54.838728,11.491818,0.0,Under way using engine
2026-08-31T00:09:03Z,219000809,54.971955,11.514543,0.0,Moored
2026-08-31T00:09:24Z,219002177,54.935982,11.371957,0.0,Under way using engine
2026-08-31T00:09:29Z,219000811,54.838728,11.491818,0.0,Under way using engine
2026-08-31T00:09:54Z,219002177,54.935975,11.371962,0.0,Under way using engine
2026-08-31T00:09:59Z,219000811,54.838730,11.491817,0.0,Under way using engine
2026-08-31T00:10:24Z,219002177,54.935985,11.371967,0.0,Under way using engine
2026-08-31T00:10:29Z,219000811,54.838730,11.491818,0.0,Under way using engine
2026-08-31T00:10:54Z,219002177,54.935975,11.371962,0.0,Under way using engine
2026-08-31T00:10:59Z,219000811,54.838727,11.491820,0.0,Under way using engine
2026-08-31T00:11:24Z,219002177,54.935977,11.371975,0.0,Under way using engine
2026-08-31T00:11:29Z,219000811,54.838725,11.491820,0.0,Under way using engine
2026-08-31T00:11:54Z,219002177,54.935983,11.371968,0.0,Under way using engine
2026-08-31T00:12:03Z,219000809,54.971927,11.514588,0.0,Moored
2026-08-31T00:12:09Z,219000811,54.838723,11.491820,0.0,Under way using engine
2026-08-31T00:12:24Z,219002177,54.935950,11.371965,0.0,Under way using engine
2026-08-31T00:12:49Z,219000811,54.838723,11.491823,0.0,Under way using engine
2026-08-31T00:12:54Z,219002177,54.935970,11.371950,0.0,Under way using engine
2026-08-31T00:13:16Z,219000809,54.971927,11.514588,0.0,Moored
2026-08-31T00:13:20Z,219000811,54.838722,11.491825,0.0,Under way using engine
2026-08-31T00:13:24Z,219002177,54.935990,11.371958,0.0,Under way using engine
2026-08-31T00:13:54Z,219002177,54.935972,11.371955,0.0,Under way using engine
2026-08-31T00:13:59Z,219000811,54.838723,11.491823,0.0,Under way using engine
2026-08-31T00:14:24Z,219002177,54.935967,11.371972,0.0,Under way using engine
2026-08-31T00:14:30Z,219000811,54.838723,11.491823,0.0,Under way using engine
2026-08-31T00:14:54Z,219002177,54.935985,11.371965,0.0,Under way using engine
2026-08-31T00:15:03Z,219000809,54.971945,11.514575,0.0,Moored
2026-08-31T00:15:09Z,219000811,54.838725,11.491823,0.0,Under way using engine
2026-08-31T00:15:24Z,219002177,54.935960,11.371968,0.0,Under way using engine
2026-08-31T00:15:48Z,219000811,54.838722,11.491823,0.0,Under way using engine
2026-08-31T00:15:54Z,219002177,54.935970,11.371973,0.0,Under way using engine
2026-08-31T00:16:20Z,219000811,54.838720,11.491823,0.0,Under way using engine
2026-08-31T00:16:24Z,219002177,54.935972,11.371987,0.0,Under way using engine
2026-08-31T00:16:54Z,219002177,54.935973,11.371968,0.0,Under way using engine
2026-08-31T00:16:59Z,219000811,54.838720,11.491822,0.0,Under way using engine
2026-08-31T00:17:24Z,219002177,54.935965,11.371978,0.0,Under way using engine
2026-08-31T00:17:30Z,219000811,54.838722,11.491813,0.0,Under way using engine
2026-08-31T00:18:02Z,219000809,54.971933,11.514577,0.0,Moored
2026-08-31T00:18:03Z,219002177,54.935943,11.371967,0.0,Under way using engine
2026-08-31T00:18:08Z,219000811,54.838722,11.491810,0.0,Under way using engine
2026-08-31T00:18:34Z,219002177,54.935970,11.371987,0.0,Under way using engine
2026-08-31T00:18:38Z,219000811,54.838720,11.491807,0.0,Under way using engine
2026-08-31T00:19:04Z,219002177,54.935993,11.371993,0.0,Under way using engine
2026-08-31T00:19:08Z,219000811,54.838720,11.491807,0.0,Under way using engine
2026-08-31T00:19:16Z,219000809,54.971933,11.514577,0.0,Moored
2026-08-31T00:19:34Z,219002177,54.935995,11.371982,0.1,Under way using engine
2026-08-31T00:19:38Z,219000811,54.838720,11.491807,0.0,Under way using engine
2026-08-31T00:20:04Z,219002177,54.935998,11.371975,0.0,Under way using engine
2026-08-31T00:20:08Z,219000811,54.838722,11.491807,0.0,Under way using engine
2026-08-31T00:20:35Z,219002177,54.935970,11.371962,0.0,Under way using engine
2026-08-31T00:20:38Z,219000811,54.838723,11.491807,0.0,Under way using engine
2026-08-31T00:21:01Z,219000809,54.971922,11.514578,0.0,Moored
2026-08-31T00:21:08Z,219000811,54.838727,11.491807,0.0,Under way using engine
2026-08-31T00:21:15Z,219002177,54.935982,11.371995,0.0,Under way using engine
2026-08-31T00:21:38Z,219000811,54.838725,11.491810,0.0,Under way using engine
2026-08-31T00:21:45Z,219002177,54.935948,11.371993,0.0,Under way using engine
