ts_utc,mmsi,lat,lon,sog,nav
2026-09-04T00:00:04Z,219002177,54.935942,11.372000,0.0,Under way using engine
2026-09-04T00:00:10Z,219000811,54.838725,11.491822,0.0,Under way using engine
2026-09-04T00:00:40Z,219000811,54.838727,11.491823,0.0,Under way using engine
2026-09-04T00:00:45Z,219002177,54.935973,11.371997,0.0,Under way using engine
2026-09-04T00:01:20Z,219000811,54.838727,11.491825,0.0,Under way using engine
2026-09-04T00:01:24Z,219002177,54.935960,11.371998,0.0,Under way using engine
2026-09-04T00:01:35Z,219000809,54.971942,11.514590,0.0,Moored
2026-09-04T00:01:58Z,219000811,54.838725,11.491827,0.0,Under way using engine
2026-09-04T00:02:04Z,219002177,54.935967,11.372008,0.0,Under way using engine
2026-09-04T00:02:30Z,219000811,54.838725,11.491830,0.0,Under way using engine
2026-09-04T00:02:34Z,219002177,54.935940,11.372002,0.0,Under way using engine
2026-09-04T00:03:04Z,219002177,54.935957,11.372003,0.0,Under way using engine
2026-09-04T00:03:09Z,219000811,54.838728,11.491828,0.0,Under way using engine
2026-09-04T00:03:34Z,219002177,54.935962,11.372022,0.0,Under way using engine
2026-09-04T00:03:40Z,219000811,54.838728,11.491828,0.0,Under way using engine
2026-09-04T00:04:04Z,219002177,54.935963,11.372005,0.0,Under way using engine
2026-09-04T00:04:19Z,219000811,54.838727,11.491827,0.0,Under way using engine
2026-09-04T00:04:32Z,219000809,54.971932,11.514577,0.0,Moored
2026-09-04T00:04:34Z,219002177,54.935977,11.372012,0.0,Under way using engine
2026-09-04T00:04:49Z,219000811,54.838725,11.491825,0.0,Under way using engine
2026-09-04T00:05:04Z,219002177,54.935963,11.372018,0.0,Under way using engine
2026-09-04T00:05:19Z,219000811,54.838727,11.491823,0.0,Under way using engine
2026-09-04T00:05:34Z,219002177,54.935960,11.372015,0.0,Under way using engine
2026-09-04T00:05:49Z,219000811,54.838727,11.491823,0.0,Under way using engine
2026-09-04T00:06:04Z,219002177,54.935962,11.372003,0.0,Under way using engine
2026-09-04T00:06:19Z,219000811,54.838727,11.491827,0.0,Under way using engine
2026-09-04T00:06:34Z,219002177,54.935977,11.371997,0.0,Under way using engine
2026-09-04T00:06:49Z,219000811,54.838725,11.491827,0.0,Under way using engine
2026-09-04T00:07:04Z,219002177,54.935952,11.371983,0.0,Under way using engine
2026-09-04T00:07:19Z,219000811,54.838727,11.491823,0.0,Under way using engine
2026-09-04T00:07:32Z,219000809,54.971932,11.514565,0.0,Moored
2026-09-04T00:07:34Z,219002177,54.935985,11.371973,0.0,Under way using engine
2026-09-04T00:07:49Z,219000811,54.838728,11.491823,0.0,Under way using engine
2026-09-04T00:08:04Z,219002177,54.935990,11.371980,0.0,Under way using engine
2026-09-04T00:08:19Z,219000811,54.838728,11.491822,0.0,Under way using engine
2026-09-04T00:08:34Z,219002177,54.935975,11.371992,0.0,Under way using engine
2026-09-04T00:08:49Z,219000811,54.838728,11.491822,0.0,Under way using engine
2026-09-04T00:09:04Z,219002177,54.935952,11.371995,0.0,Under way using engine
2026-09-04T00:09:19Z,219000811,54.838728,11.491822,0.0,Under way using engine
2026-09-04T00:09:34Z,219002177,54.935958,11.372005,0.0,Under way using engine
2026-09-04T00:09:49Z,219000811,54.838725,11.491818,0.0,Under way using engine
2026-09-04T00:10:04Z,219002177,54.935952,11.372013,0.0,Under way using engine
2026-09-04T00:10:19Z,219000811,54.838725,11.491817,0.0,Under way using engine
2026-09-04T00:10:33Z,219000809,54.971923,11.514583,0.0,Moored
2026-09-04T00:10:34Z,219002177,54.935940,11.372020,0.0,Under way using engine
2026-09-04T00:10:49Z,219000811,54.838725,11.491812,0.0,Under way using engine
2026-09-04T00:11:04Z,219002177,54.935923,11.372020,0.0,Under way using engine
2026-09-04T00:11:19Z,219000811,54.838725,11.491813,0.0,Under way using engine
2026-09-04T00:11:35Z,219002177,54.936010,11.371962,0.0,Under way using engine
2026-09-04T00:11:49Z,219000811,54.838728,11.491815,0.0,Under way using engine
2026-09-04T00:12:14Z,219002177,54.935960,11.372005,0.0,Under way using engine
2026-09-04T00:12:19Z,219000811,54.838728,11.491817,0.0,Under way using engine
2026-09-04T00:12:44Z,219002177,54.935968,11.371992,0.0,Under way using engine
2026-09-04T00:12:49Z,219000811,54.838730,11.491818,0.0,Under way using engine
2026-09-04T00:13:14Z,219002177,54.935960,11.371995,0.0,Under way using engine
2026-09-04T00:13:20Z,219000811,54.838730,11.491818,0.0,Under way using engine
2026-09-04T00:13:34Z,219000809,54.971910,11.514590,0.0,Moored
2026-09-04T00:13:44Z,219002177,54.935965,11.372013,0.1,Under way using engine
2026-09-04T00:13:59Z,219000811,54.838728,11.491817,0.0,Under way using engine
2026-09-04T00:14:14Z,219002177,54.935940,11.371997,0.0,Under way using engine
2026-09-04T00:14:29Z,219000811,54.838727,11.491815,0.0,Under way using engine
2026-09-04T00:14:45Z,219002177,54.935970,11.371983,0.0,Under way using engine
2026-09-04T00:15:08Z,219000811,54.838727,11.491812,0.0,Under way using engine
2026-09-04T00:15:25Z,219002177,54.935970,11.371985,0.0,Under way using engine
2026-09-04T00:15:40Z,219000811,54.838727,11.491813,0.0,Under way using engine
2026-09-04T00:15:55Z,219002177,54.935942,11.371975,0.0,Under way using engine
2026-09-04T00:16:20Z,219000811,54.838725,11.491813,0.0,Under way using engine
2026-09-04T00:16:25Z,219002177,54.935942,11.371973,0.0,Under way using engine
2026-09-04T00:16:36Z,219000809,54.971893,11.514570,0.0,Moored
2026-09-04T00:16:50Z,219000811,54.838727,11.491813,0.0,Under way using engine
2026-09-04T00:16:55Z,219002177,54.935953,11.371987,0.0,Under way using engine
2026-09-04T00:17:20Z,219000811,54.838727,11.491817,0.0,Under way using engine
2026-09-04T00:17:25Z,219002177,54.935955,11.371995,0.0,Under way using engine
2026-09-04T00:17:50Z,219000811,54.838727,11.491815,0.0,Under way using engine
2026-09-04T00:17:55Z,219002177,54.935952,11.371990,0.1,Under way using engine
2026-09-04T00:18:20Z,219000811,54.838728,11.491817,0.0,Under way using engine
2026-09-04T00:18:35Z,219002177,54.935963,11.371982,0.0,Under way using engine
2026-09-04T00:18:50Z,219000811,54.838727,11.491818,0.0,Under way using engine
2026-09-04T00:19:05Z,219002177,54.935967,11.371987,0.0,Under way using engine
2026-09-04T00:19:20Z,219000811,54.838727,11.491820,0.0,Under way using engine
2026-09-04T00:19:33Z,219000809,54.971928,11.514563,0.0,Moored
2026-09-04T00:19:44Z,219002177,54.935950,11.371997,0.0,Under way using engine
2026-09-04T00:19:50Z,219000811,54.838727,11.491818,0.0,Under way using engine
2026-09-04T00:20:14Z,219002177,54.935930,11.372005,0.0,Under way using engine
2026-09-04T00:20:20Z,219000811,54.838727,11.491817,0.0,Under way using engine
2026-09-04T00:20:44Z,219002177,54.935925,11.372012,0.0,Under way using engine
2026-09-04T00:20:59Z,219000811,54.838727,11.491815,0.0,Under way using engine
2026-09-04T00:21:14Z,219002177,54.935913,11.372013,0.0,Under way using engine
2026-09-04T00:21:30Z,219000811,54.838727,11.491817,0.0,Under way using engine
2026-09-04T00:21:44Z,219002177,54.935937,11.372018,0.0,Under way using engine
2026-09-04T00:22:00Z,219000811,54.838728,11.491817,0.0,Under way using engine
2026-09-04T00:22:14Z,219002177,54.935942,11.372008,0.0,Under way using engine
2026-09-04T00:22:30Z,219000811,54.838728,11.491817,0.0,Under way using engine
2026-09-04T00:22:34Z,219000809,54.971940,11.514603,0.0,Moored
2026-09-04T00:22:44Z,219002177,54.935957,11.372007,0.0,Under way using engine
2026-09-04T00:23:00Z,219000811,54.838728,11.491815,0.0,Under way using engine
2026-09-04T00:23:14Z,219002177,54.935962,11.372012,0.0,Under way using engine
2026-09-04T00:23:30Z,219000811,54.838725,11.491815,0.0,Under way using engine
2026-09-04T00:23:44Z,219002177,54.935960,11.372012,0.0,Under way using engine
2026-09-04T00:24:00Z,219000811,54.838723,11.491815,0.0,Under way using engine
2026-09-04T00:24:14Z,219002177,54.935952,11.372012,0.0,Under way using engine
2026-09-04T00:24:30Z,219000811,54.838722,11.491813,0.0,Under way using engine
2026-09-04T00:24:44Z,219002177,54.935960,11.372022,0.0,Under way using engine
2026-09-04T00:25:00Z,219000811,54.838720,11.491817,0.0,Under way using engine
2026-09-04T00:25:14Z,219002177,54.935958,11.372017,0.0,Under way using engine
2026-09-04T00:25:30Z,219000811,54.838718,11.491818,0.0,Under way using engine
2026-09-04T00:25:32Z,219000809,54.971927,11.514573,0.0,Moored
2026-09-04T00:25:44Z,219002177,54.935960,11.372013,0.0,Under way using engine
2026-09-04T00:26:00Z,219000811,54.838720,11.491818,0.0,Under way using engine
2026-09-04T00:26:14Z,219002177,54.935953,11.372025,0.0,Under way using engine
2026-09-04T00:26:30Z,219000811,54.838720,11.491817,0.0,Under way using engine
2026-09-04T00:26:45Z,219002177,54.935942,11.372033,0.0,Under way using engine
2026-09-04T00:27:00Z,219000811,54.838718,11.491817,0.0,Under way using engine
2026-09-04T00:27:25Z,219002177,54.935960,11.372023,0.0,Under way using engine
2026-09-04T00:27:30Z,219000811,54.838718,11.491813,0.0,Under way using engine
