ts_utc,mmsi,lat,lon,sog,nav
2026-09-22T00:00:09Z,219000811,54.838725,11.491828,0.0,Under way using engine
2026-09-22T00:00:13Z,219002177,54.935957,11.372003,0.0,Under way using engine
2026-09-22T00:00:40Z,219000811,54.838722,11.491833,0.0,Under way using engine
2026-09-22T00:00:43Z,219002177,54.935963,11.371993,0.0,Under way using engine
2026-09-22T00:01:14Z,219002177,54.935965,11.372003,0.0,Under way using engine
2026-09-22T00:01:20Z,219000811,54.838722,11.491833,0.0,Under way using engine
2026-09-22T00:01:33Z,219000809,91.000000,0.000000,,Unknown value
2026-09-22T00:01:54Z,219002177,54.935972,11.371977,0.0,Under way using engine
2026-09-22T00:01:59Z,219000811,54.838722,11.491832,0.0,Under way using engine
2026-09-22T00:02:03Z,219000809,54.971927,11.514558,0.0,Moored
2026-09-22T00:02:30Z,219000811,54.838720,11.491830,0.0,Under way using engine
2026-09-22T00:02:34Z,219002177,54.935973,11.372017,0.0,Under way using engine
2026-09-22T00:03:04Z,219002177,54.935973,11.372007,0.0,Under way using engine
2026-09-22T00:03:09Z,219000811,54.838720,11.491827,0.0,Under way using engine
2026-09-22T00:03:34Z,219002177,54.935965,11.371977,0.0,Under way using engine
2026-09-22T00:03:39Z,219000811,54.838720,11.491825,0.0,Under way using engine
2026-09-22T00:04:04Z,219002177,54.935977,11.371983,0.0,Under way using engine
2026-09-22T00:04:09Z,219000811,54.838720,11.491825,0.0,Under way using engine
2026-09-22T00:04:34Z,219002177,54.935973,11.371983,0.1,Under way using engine
2026-09-22T00:04:39Z,219000811,54.838720,11.491825,0.0,Under way using engine
2026-09-22T00:05:04Z,219002177,54.935980,11.371983,0.0,Under way using engine
2026-09-22T00:05:05Z,219000809,54.971918,11.514552,0.0,Moored
2026-09-22T00:05:09Z,219000811,54.838722,11.491825,0.0,Under way using engine
2026-09-22T00:05:34Z,219002177,54.935980,11.371992,0.0,Under way using engine
2026-09-22T00:05:39Z,219000811,54.838723,11.491825,0.0,Under way using engine
2026-09-22T00:06:04Z,219002177,54.935977,11.371990,0.0,Under way using engine
2026-09-22T00:06:09Z,219000811,54.838725,11.491823,0.0,Under way using engine
2026-09-22T00:06:34Z,219002177,54.935975,11.371988,0.0,Under way using engine
2026-09-22T00:06:39Z,219000811,54.838727,11.491822,0.0,Under way using engine
2026-09-22T00:07:04Z,219002177,54.935982,11.371988,0.0,Under way using engine
2026-09-22T00:07:09Z,219000811,54.838725,11.491820,0.0,Under way using engine
2026-09-22T00:07:33Z,219000809,54.971918,11.514552,0.0,Moored
2026-09-22T00:07:40Z,219000811,54.838725,11.491820,0.0,Under way using engine
2026-09-22T00:07:44Z,219002177,54.935973,11.372012,0.0,Under way using engine
2026-09-22T00:08:04Z,219000809,54.971912,11.514560,0.0,Moored
2026-09-22T00:08:14Z,219002177,54.935977,11.371992,0.0,Under way using engine
2026-09-22T00:08:19Z,219000811,54.838727,11.491820,0.0,Under way using engine
2026-09-22T00:08:49Z,219000811,54.838727,11.491818,0.0,Under way using engine
2026-09-22T00:09:04Z,219002177,54.935963,11.371978,0.0,Under way using engine
2026-09-22T00:09:19Z,219000811,54.838728,11.491818,0.0,Under way using engine
2026-09-22T00:09:49Z,219000811,54.838728,11.491817,0.0,Under way using engine
2026-09-22T00:09:54Z,219002177,54.935967,11.371973,0.0,Under way using engine
2026-09-22T00:10:19Z,219000811,54.838728,11.491817,0.0,Under way using engine
2026-09-22T00:10:25Z,219002177,54.935977,11.371983,0.0,Under way using engine
2026-09-22T00:10:49Z,219000811,54.838728,11.491818,0.0,Under way using engine
2026-09-22T00:11:04Z,219002177,54.935970,11.371997,0.0,Under way using engine
2026-09-22T00:11:05Z,219000809,54.971900,11.514543,0.0,Moored
2026-09-22T00:11:19Z,219000811,54.838727,11.491820,0.0,Under way using engine
2026-09-22T00:11:49Z,219000811,54.838725,11.491822,0.0,Under way using engine
2026-09-22T00:11:54Z,219002177,54.935967,11.371970,0.0,Under way using engine
2026-09-22T00:12:19Z,219000811,54.838723,11.491818,0.0,Under way using engine
2026-09-22T00:12:25Z,219002177,54.935972,11.371968,0.0,Under way using engine
2026-09-22T00:12:49Z,219000811,54.838723,11.491815,0.0,Under way using engine
2026-09-22T00:13:04Z,219002177,54.935992,11.371995,0.0,Under way using engine
2026-09-22T00:13:19Z,219000811,54.838722,11.491812,0.0,Under way using engine
2026-09-22T00:13:49Z,219000811,54.838718,11.491808,0.0,Under way using engine
2026-09-22T00:13:53Z,219002177,54.935982,11.371998,0.0,Under way using engine
2026-09-22T00:14:04Z,219000809,54.971903,11.514540,0.0,Moored
2026-09-22T00:14:19Z,219000811,54.838715,11.491807,0.0,Under way using engine
2026-09-22T00:14:25Z,219002177,54.935978,11.371988,0.0,Under way using engine
2026-09-22T00:14:49Z,219000811,54.838715,11.491807,0.0,Under way using engine
2026-09-22T00:15:03Z,219002177,54.935967,11.371992,0.0,Under way using engine
2026-09-22T00:15:19Z,219000811,54.838713,11.491805,0.0,Under way using engine
2026-09-22T00:15:35Z,219002177,54.935977,11.371983,0.0,Under way using engine
2026-09-22T00:15:49Z,219000811,54.838713,11.491803,0.0,Under way using engine
2026-09-22T00:16:15Z,219002177,54.935963,11.371967,0.0,Under way using engine
2026-09-22T00:16:19Z,219000811,54.838715,11.491810,0.0,Under way using engine
2026-09-22T00:16:49Z,219000811,54.838713,11.491810,0.0,Under way using engine
2026-09-22T00:16:53Z,219002177,54.935978,11.371963,0.0,Under way using engine
2026-09-22T00:17:03Z,219000809,54.971910,11.514555,0.0,Moored
2026-09-22T00:17:19Z,219000811,54.838713,11.491813,0.0,Under way using engine
2026-09-22T00:17:25Z,219002177,54.935982,11.371973,0.0,Under way using engine
2026-09-22T00:17:49Z,219000811,54.838713,11.491813,0.0,Under way using engine
2026-09-22T00:18:03Z,219002177,54.935982,11.371990,0.0,Under way using engine
2026-09-22T00:18:19Z,219000811,54.838712,11.491813,0.0,Under way using engine
2026-09-22T00:18:35Z,219002177,54.935975,11.371983,0.0,Under way using engine
2026-09-22T00:18:49Z,219000811,54.838712,11.491813,0.0,Under way using engine
2026-09-22T00:19:15Z,219002177,54.935975,11.371983,0.0,Under way using engine
2026-09-22T00:19:20Z,219000811,54.838712,11.491815,0.0,Under way using engine
2026-09-22T00:19:33Z,219000809,54.971910,11.514555,0.0,Moored
2026-09-22T00:19:55Z,219002177,54.935975,11.371987,0.0,Under way using engine
2026-09-22T00:19:59Z,219000811,54.838708,11.491813,0.0,Under way using engine
2026-09-22T00:20:07Z,219000809,54.971922,11.514558,0.0,Moored
2026-09-22T00:20:30Z,219000811,54.838708,11.491812,0.0,Under way using engine
2026-09-22T00:20:35Z,219002177,54.935973,11.371983,0.0,Under way using engine
2026-09-22T00:21:08Z,219000811,54.838710,11.491813,0.0,Under way using engine
2026-09-22T00:21:15Z,219002177,54.935975,11.371987,0.0,Under way using engine
2026-09-22T00:21:38Z,219000811,54.838710,11.491813,0.0,Under way using engine
2026-09-22T00:21:55Z,219002177,54.935967,11.371995,0.0,Under way using engine
2026-09-22T00:22:10Z,219000811,54.838710,11.491815,0.0,Under way using engine
2026-09-22T00:22:35Z,219002177,54.935968,11.371988,0.0,Under way using engine
2026-09-22T00:22:49Z,219000811,54.838713,11.491815,0.0,Under way using engine
2026-09-22T00:23:04Z,219000809,54.971907,11.514580,0.0,Moored
2026-09-22T00:23:05Z,219002177,54.935975,11.371990,0.0,Under way using engine
2026-09-22T00:23:20Z,219000811,54.838715,11.491815,0.0,Under way using engine
2026-09-22T00:23:35Z,219002177,54.935970,11.371987,0.0,Under way using engine
2026-09-22T00:23:59Z,219000811,54.838715,11.491815,0.0,Under way using engine
2026-09-22T00:24:05Z,219002177,54.935970,11.371990,0.0,Under way using engine
2026-09-22T00:24:29Z,219000811,54.838718,11.491817,0.0,Under way using engine
2026-09-22T00:24:35Z,219002177,54.935968,11.371987,0.0,Under way using engine
2026-09-22T00:24:59Z,219000811,54.838718,11.491817,0.0,Under way using engine
2026-09-22T00:25:05Z,219002177,54.935970,11.371995,0.0,Under way using engine
2026-09-22T00:25:29Z,219000811,54.838720,11.491818,0.0,Under way using engine
2026-09-22T00:25:34Z,219000809,54.971907,11.514580,0.0,Moored
2026-09-22T00:25:35Z,219002177,54.935972,11.371997,0.0,Under way using engine
2026-09-22T00:25:59Z,219000811,54.838722,11.491818,0.0,Under way using engine
2026-09-22T00:26:05Z,219002177,54.935970,11.371995,0.0,Under way using engine
2026-09-22T00:26:29Z,219000811,54.838722,11.491817,0.0,Under way using engine
2026-09-22T00:26:35Z,219002177,54.935965,11.371997,0.0,Under way using engine
2026-09-22T00:26:59Z,219000811,54.838722,11.491817,0.0,Under way using engine
2026-09-22T00:27:14Z,219002177,54.935962,11.371998,0.0,Under way using engine
2026-09-22T00:27:29Z,219000811,54.838720,11.491817,0.0,Under way using engine
2026-09-22T00:27:44Z,219002177,54.935963,11.371992,0.0,Under way using engine
2026-09-22T00:27:59Z,219000811,54.838720,11.491815,0.0,Under way using engine
2026-09-22T00:28:14Z,219002177,54.935970,11.371995,0.0,Under way using engine
2026-09-22T00:28:29Z,219000811,54.838720,11.491818,0.0,Under way using engine
2026-09-22T00:28:44Z,219002177,54.935972,11.371995,0.0,Under way using engine
2026-09-22T00:28:59Z,219000811,54.838723,11.491820,0.0,Under way using engine
2026-09-22T00:29:03Z,219000809,54.971903,11.514562,0.0,Moored
2026-09-22T00:29:14Z,219002177,54.935972,11.371988,0.0,Under way using engine
2026-09-22T00:29:29Z,219000811,54.838723,11.491820,0.0,Under way using engine
2026-09-22T00:29:44Z,219002177,54.935965,11.371997,0.0,Under way using engine
2026-09-22T00:29:59Z,219000811,54.838723,11.491822,0.0,Under way using engine
2026-09-22T00:30:14Z,219002177,54.935963,11.371997,0.0,Under way using engine
